date,price,baseline_revenue,incremental_revenue,revenue_observed,contrib_tv_units,contrib_tv_revenue,contrib_search_units,contrib_search_revenue,contrib_social_units,contrib_social_revenue,contrib_video_units,contrib_video_revenue,contrib_promo_index_units,contrib_promo_index_revenue,contrib_distribution_index_units,contrib_distribution_index_revenue,contrib_seasonality_index_units,contrib_seasonality_index_revenue
2023-01-01,9.567397536343428,1148087.7043612113,787327.4086564728,1954690.7054879202,13582.122783623441,129945.56805835286,20733.325372367373,198363.9660877943,11684.227689344458,111787.65120910983,10199.899140028245,97586.48990325768,13898.081712140105,132968.4727326289,10245.220779736926,98020.10004734957,1949.8678242557262,18655.160617979556
2023-01-08,9.535653004879963,1144278.3605855955,967882.6450285406,2124231.985470476,22464.557828938923,214214.22836482115,25240.6220841887,240685.81382213352,13973.335469533233,133244.87835825034,14328.82422473728,136634.69577501286,11854.864051193592,113043.87001220763,10749.146090559596,102500.12721833831,2890.1042711677173,27559.031477776858
2023-01-15,9.407180549803586,1128861.6659764303,1060361.0105005284,2235817.116655416,27175.65707678515,255646.31268086546,25962.592341493877,244234.79369738075,14639.440944765016,137715.86411559168,16132.109257195596,151757.6644315968,14281.958491889807,134352.96213800795,10798.539924265568,101583.81474182854,3727.96062641632,35069.5986952572
2023-01-22,9.775057946907339,1173006.9536288807,1156061.2600124967,2298639.889746329,29914.83910672621,292419.28574065847,27276.230382243266,266626.73255962244,14208.221921249937,138886.19260273725,16252.860715399844,158872.65529604733,14827.582641599929,144940.4795341967,11292.953116587798,110389.27110635355,4493.747598373944,43926.64317288099
2023-01-29,9.794664801435946,1175359.7761723136,1140581.2632545284,2351590.722693757,31047.82700308593,304103.0583081983,26997.11523040239,264427.6942875326,13998.16744442076,137107.3579524746,16663.20911249763,163210.54777314723,11310.312258053365,110780.71736720481,11257.965724265916,110268.00061523971,5174.642315814702,50683.88695073125
2023-02-05,9.723952268462828,1166874.2722155394,1183751.3548043005,2332322.7148677413,31803.950219429727,309260.0938823025,27678.584754568816,269145.2370120301,13161.39801576612,127980.80609155113,17817.57681097832,173257.2664496233,14286.452713304881,138920.7842698279,11220.235780452374,109105.03717001765,5767.421350970224,56082.129928947856
2023-02-12,9.786212741046574,1174345.5289255888,1219849.0072234846,2447260.216646789,32666.83113005545,319684.5590145655,28037.697151643162,274382.8690950156,12842.436514272178,125678.81584205215,18430.69618811319,180366.71386247184,15019.207617598073,146981.16094776202,11376.159819461347,111329.52016939473,6276.72521716033,61425.36829222275
2023-02-19,9.854460297535223,1182535.2357042267,1203229.0032759928,2429807.891095907,33109.181944846445,326273.1189593593,27115.354623944957,267207.1855952537,12335.891164737168,121563.54971761795,18272.541407642795,180066.0338366843,13207.729013681514,130155.04118592852,11348.290911775443,111831.28223497089,6710.950143329441,66132.79174617829
2023-02-26,9.66554802276255,1159865.762731506,1206594.5561050056,2300049.9617637377,33235.52802174933,321239.59215608856,27393.986333290755,264777.8904393228,12322.141425500024,119100.24969144227,18385.594286777767,177706.84450587927,15124.533455941759,146186.90444028392,11293.17312774639,109154.70719560428,7079.615921956447,68428.36767638441
2023-03-05,9.78314096673538,1173976.9160082454,1225809.5050133502,2477970.17509767,33487.872153971715,327616.57395831763,27047.082195143605,264605.41785396845,12811.277107498767,125334.52990657031,18359.581232974546,179614.37129241932,14762.625387377288,144424.8452038185,11437.749186776127,111897.1126363938,7391.966895678294,72316.65416186207
2023-03-12,9.924816017642208,1190977.922117065,1236077.9605737557,2388031.485719682,33526.91099748478,332748.42328990164,26884.55880417707,266824.29984694044,12625.192653900556,125302.71427725097,18965.006870093013,188224.20395899366,13736.723370509151,136334.4521375493,11149.440707451145,110656.1477210632,7656.335312108761,75987.71934205668
2023-03-19,9.724267365189247,1166912.0838227097,1233840.603898606,2458951.095653045,33555.670253748685,326304.3091655799,27153.819294898643,264050.99880962895,14193.541637230685,138021.7937393771,18810.626075905795,182919.5572687086,14135.803830280882,137460.33586751754,11153.23976924465,108457.0855041966,7879.927676392746,76626.52354359752
2023-03-26,9.878259498938036,1185391.1398725642,1239034.3970017133,2451139.359133682,33674.05825629019,332641.0858379914,25927.631602971138,256119.87316701564,13757.91222652094,135904.22713718622,18374.74306028434,181510.48017579954,14650.83294974212,144724.72975314446,10976.432491561001,108428.04852421455,8068.825526898744,79705.95240636122
2023-04-02,9.707365121782093,1164883.8146138513,1196684.35696313,2491798.0535159325,33444.84756540317,324661.3467597135,24799.5926241858,240738.70047442568,13702.462801063002,133014.80947755554,17821.499011476557,172999.79792188157,14419.428249670975,139974.65486689543,10860.006440346484,105422.04774134836,8228.082360071629,79872.99972130981
2023-04-09,9.878783844842918,1185454.06138115,1216306.449935855,2385659.1581545044,33281.10399977319,328776.8325314964,23984.953717114113,236942.17329993198,14605.347858735351,144283.0744751859,17199.442803583806,169909.57770834348,14681.379213883134,145034.17179812133,11009.014490435955,108755.6744957603,8361.85373872095,82604.94562701588
2023-04-16,9.812850881265476,1177542.1057518572,1193636.495761451,2346329.8261501687,33320.105263992904,326965.22430363117,23532.913205164055,230924.96808403806,14672.37525117309,143977.83041373163,17336.721647065857,170122.66429266444,13433.71308342027,131823.02326930815,10870.776234715526,106673.30615486804,8473.52927801616,83149.47924320969
